전통주명,도수,규격,주원료,제조사,가격,주종,판매 url,정보,맛,안주,,,,
애피소드호프,3.5,500ml,"사과과즙, 보리, 쌀, 홉",㈜한국애플리즈,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)",기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,"경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 15년의 부단한 연구개발 끝에 오크통 숙성이 아닌 한국의 전통방식대로 황토옹기에서 저온숙성하여 깊고 풍부한 맛과 향을 지닌 사과와인을 선보이고 있다. 애피소드 호프는 사과와인에 맥주의 원료인 호프를 가미하여 만든 제품이다. 애피소드 시리즈는 애플, 상그리아, 호프 3종이 출시되어 있다.
","단맛:4, 신맛:4, 청량감:4, 바디감:2",디저트:쿠키,,,,
애피소드 상그리아,3.5,500ml,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)",과실주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,"경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 15년의 부단한 연구개발 끝에 오크통 숙성이 아닌 한국의 전통방식대로 황토옹기에서 저온숙성하여 깊고 풍부한 맛과 향을 지닌 사과와인을 선보이고 있다. 애피소드 호프는 사과와인에 맥주의 원료인 호프를 가미하여 만든 제품이다. 애피소드 시리즈는 애플, 상그리아, 호프 3종이 출시되어 있다.","단맛:4, 신맛:4, 청량감:4, 바디감:2","육류:치킨, 닭강정, 튀김류",,,,
애피소드 애플,3.5,500ml,사과,㈜한국애플리즈,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)",과실주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,"경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 15년의 부단한 연구개발 끝에 오크통 숙성이 아닌 한국의 전통방식대로 황토옹기에서 저온숙성하여 깊고 풍부한 맛과 향을 지닌 사과와인을 선보이고 있다. 애피소드 시리즈는 애플, 상그리아, 호프 3종이 출시되어 있다.","단맛:4, 신맛:4, 청량감:4, 바디감:2",튀김류,,,,
심술 알쓰,3.8,180ml,복분자,배상면주가,,,,"심술알쓰는 과음하지 않는 젊은 세대의 음주문화를 반영해 실제 3.85도 낮은 알코올 도수로 주량이 약한 사람도 부담 없이 즐길 수 있다. 제품명으로 활용된 ""알쓰""라는 단어도 주량이 약한 사람들을 지칭하는 신조어를 재미있게 풀어냈다.",,해산물:장어,,,,
아이싱 자몽,4,"350ml, 300ml","쌀, 자몽엑기스",국순당,CAN ￦1300                                         BOTTLE ￦5000(가격은 판매처 별로 상이할 수 있습니다),탁주,http://www.ksdb.co.kr,"아이싱 자몽(iCing Grapefruit)은 기분까지 리프레싱 시켜주는 맛있는 술이다. 하얀 쌀과 유산균 자연발효를 통해 부드러운 맛과 상큼함을 살려 뽀얗고 산뜻한 술로, 자몽의 상큼한 신맛과 톡톡 튀는 탄산의 청량감이 특징이며, 자연발효로 빚어 내 몸을 상쾌하게 해주는 식이섬유가 함유되어 있다. 또한, 술자리의 상황과 자신의 주량에 맞게 병과 캔, 두 가지 선택이 가능하다.","단맛:3, 신맛:1, 청량감:1, 바디감:3",디저트:케이크,,,,
메로니아,4,750ml,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",배혜정도가,￦2000 (가격은 판매처 별로 상이할 수 있습니다.),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,"메로니아는 막걸리에 멜론특유의 달콤함을 담아 멜론 맛 아이스크림이 그대로 녹아 들어 있는 듯한 탁주이다. 일반적인 과일 막걸리는 살균을 통해 유통기한을 늘리지만, 메로니아는 독특하게 살균을 하지 않은 생 탁주로 생 막걸리 특유의 부드러움과 멜론의 향과 맛이 달콤하게 느껴져 평소 술을 좋아하지 않는 사람도 거리낌없이 즐길 수 있는 술이다.","단맛:4, 신맛:1, 청량감:5, 바디감:2",디저트,,,,
바나나 주,4,750ml,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",조은술 세종,￦1700 (가격은 판매처 별로 상이할 수 있습니다.),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,"달콤하면서도 향긋한 바나나 냄새 때문에, 바나나 우유를 마시는 듯한 느낌을 받는 조은술 세종의 바나나 주. 국내산 쌀로 빚어 4%의 낮은 도수를 가지고 있어 젊은 층들이 특히 좋아할 만한 술이고, 산미는 적고 단맛이 강해 누구나 부담 없이 즐길 수 있는 막걸리다.","단맛:3, 신맛:1, 청량감:3, 바디감:2",디저트:열대과일,,,,
인생막걸리,5,750ml,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨",서울장수(주),,,,,,,,,,
지평 이랑이랑,5,750ml,"정제수, 쌀, 자일리톨, 국, 효모, 레몬농축액, 허브류",지평주조,,,,,,,,,,
1000억 유산균 막걸리,5,750ml,"국내산쌀, 누룩",국순당,"￦3,200 (가격은 판매처 별로 상이할 수 있습니다)",탁주,http://www.ksdb.co.kr,"전통주의 명가 (주)국순당에서 생산하는 1000억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며, 유산균 1000억 마리는 일반 생막걸리(국순당 생막걸리) 보다 1000배 유산균음료 기준보다 100배나 많은 양이다. 1000억 유산균 막걸리는 앞서가는 국순당의 기술로 2번의 쌀 발효와 3번의 유산균 발효를 적용하여 1000억 마리 이상(700ml 기준)의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다. 상큼한 신맛과 막걸리 특유의 바디감이 특징인 1000억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다.","단맛:4, 신맛:5, 청량감:5, 바디감:3","육류:족발, 보쌈",,,,
